Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State,,,,,,,,,,,
96,3410 Colonial Ave,1725000,"BRAND NEW HVAC AND REFINISHED HARDWOOD FLOORS! Mar Vista Beauty! Enjoy designer style and expansive space in this 3BD/2BA home in the heart of Mar Vista, north of Palms. Stunning curb appeal with fresh exterior paint.  Engineered hardwood floors, recessed lighting, updated bathrooms. Master bedroom has a huge walk-in closet and offers an ensuite with a tub and full shower. The Remodeled kitchen offers stainless steel appliances, a beautiful marble island and Caesar Stone countertops. Open Concept dining/living space offers plenty of natural light, crown moldings and is completely turn key. Entertainers dream! Walk out to your brand-new salt water pool with solar water heating. Enjoy a Sunday BBQ with all your friends and family with plenty of pockets for outdoor seating. A two-car garage completes the package and includes a work shop great for weekend projects. Not only are you minutes away from the beach but also close to Culver City, Abbott Kinney and The Mar Vista Farmers Markets. We welcome you to appreciate the aesthetics & design of this home.",SingleFamily,1945,Central,Central Air,Garage,6502,3,2,2,1552,2,2,Los Angeles,Walgrove Avenue Elementary School,4,0.8,Mark Twain Middle School and World Languages Magnet,4,0.9,Venice Senior High School,6,1,,Central,Central Air,"Dryer, Washer",Stackable,Garage,899123,11126,12/3/2019,1698900,,,Los Angeles,90066,CA,,,,,,,,,,,
97,112 Clipper St,2207000,"FIXER alert, bring contractors and cosmetic visionaries - Welcome to 112 Clipper Street. Make it Your Life. Your Home. Your Way. In Your location. This is an opportunity to renovate a massive home on a flat lot near everything Noe Valley and a short jaunt to the Mission. Room to expand if you want bigger? Possibly, both neighbors went back, buyers to investigate. For the ones that love Noe Valley but don't love steep hills, for the visionary who desires the accessibility of public transportation but doesn't want the train tracks in front of their abode, for those that seek urban living with bucolic charm, for the dreamer who wants the exquisite opportunity to own and customize a large home, we present to you 112 Clipper. Add all of the modern touches to this home OR explore going bigger? Yes, yes, yes and allow your mind to wander and your dreams to come true.",SingleFamily,1900,,,"Independent, On Site (Single Family Only)",2848,5,3,3,2962,1,1,San Francisco,Alvarado Elementary School,7,0.7,Lick (James) Middle School,3,0.3,Mission High School,3,0.8,,,,,,"Independent, On Site (Single Family Only)",2149140,26547,11/15/2019,1995000,8/29/2018,2107000,San Francisco,94114,CA,,,,,,,,,,,
98,3337 Thompson Ave,1160000,"Beautiful Cambrian single level ranch style home located just outside Willow Glen nestled on a quiet street in a tight neighborhood minutes from everything Silicon Valley. This home boasts both formal and informal entertaining spaces along; large kitchen with breakfast bar, inside laundry/ utility room, additional half bath, wood burning fireplace in family room, Central AC and more.  Hardwood floors throughout most of home and almost entire home has new copper plumbing. Excellent size bedrooms which all face the back of the home for privacy. Wonderful opportunity to purchase well cared for long time family home.  Lush lawn in both front and back of property and upgraded with tile roof! Reed elementary, do not miss this opportunity.",SingleFamily,1960,Central Forced Air - Gas,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",6865,Master Bedroom on Ground Floor,3,2,1695,2,2,San Jose,Reed Elementary School,6,0.3,John Muir Middle School,5,1,Pioneer High School,7,1.6,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Garbage disposal, Range / Oven, Refrigerator","Inside, In Utility Room","Garage, Garage - Attached, Covered",86136,2322,12/5/2019,999000,,,San Jose,95118,CA,,,,,,,,,,,
99,1125 E 88th Pl,549000,"Beautiful duplex, well maintained. Great opportunity to own income producing property in the City of Los Angeles.  One unit consist of three bedrooms and one bathroom, and the other unit consist of two bedrooms and one bathroom. Detached garage.",Unknown,1941,Wall Furnace,None,Garage,,,,,1641,2,2,Los Angeles,Russell Elementary School,5,0.3,Charles Drew Middle School,1,0.5,,,,,Wall Furnace,None,,None,Garage,326166,5227,11/11/2019,549675,5/9/2012,284000,Los Angeles,90002,CA,,,,,,,,,,,
100,410 N Kenmore Ave,1050000,"We are pleased to present this rear opportunity property in very desired arear near Downtown Los Angeles, the property consists of two units, the main house is 3bedrooms and 1 bathroom, and the rear house is 1 bedroom and on bathroom. Both unit are in moving conditions and will be delivered vacant.  Also this rare development opportunity is comprised of 6,211 square feet of land zoned LAR3.",Unknown,1920,Floor Furnace,None,Garage,,,,,2080,1,1,Los Angeles,Alexandria Avenue Elementary School,4,0.2,Virgil Middle School,5,0.4,Belmont Senior High School,3,2.3,"Tile, Wood",Floor Furnace,None,Water Heater,None,Garage,230062,3026,11/11/2019,1100000,7/10/1996,154500,Los Angeles,90004,CA,,,,,,,,,,,
101,3901 Lick Mill Blvd APT 152,780000,"Remodeled 1st floor end-unit condo w/ over $65k in upgrades in great location! Private & modern 2BD/1BA steps from pool, bbq station, gym, & clubhouse with a spacious patio with no rear-facing neighbors. Less than 2-year old remodel - all work permitted. Bamboo flooring in living room and bedrooms and porcelain tile in the kitchen, bathroom, and laundry area. 2nd bedroom has custom built sliding barn door by Statuswood. Kitchen has GE stainless steel appliances, a 9"" Blanco stainless steel sink, 3/4in quartz countertops, subway tile backsplash, and Hansgrohe faucet. Bath has sliding glass walk-in shower w/ venetian tiles & pebble floor, fluid rain shower head and handheld, Porcelanosa vanity mirror, a Toto porcelain sink, a Kohler sensor toilet bowl, and heated floors. Nest thermostat & CO2 detector, 1-touch light switches with dimmers, recessed LED lighting, and pre-wired surround sound in living room. 1 block from the Rivermark Plaza. Steps away from the curbside Google bus stop!",Condo,2005,Central Forced Air,Central AC,Garage,,2,1,1,865,0,0,Santa Clara,Montague Elementary School,4,0.5,Buchser Middle School,5,3.2,Santa Clara High School,6,4,"Tile, Hardwood","None, Forced air",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Washer / Dryer,Garage,472906,5631,11/13/2019,799000,6/7/2013,420000,Santa Clara,95054,CA,,,,,,,,,,,
102,68205 Dafino Ln,625000,"Pedro's House

It's awesome.",SingleFamily,1980,Central Forced Air - Gas,Central AC,Garage - Attached,435600,3,2,2,1800,0,0,Lockwood,San Antonio Elementary School,4,1.1,,,,King City High School,4,17.2,"Tile, Wood","Forced air, Electric",Central,"Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Inside,Garage - Attached,273482,2990,9/20/2019,679000,4/22/1994,176000,Lockwood,93932,CA,,,,,,,,,,,
103,9316 Grape St,363000,"Recently Remodeled Home... Features include:  2 Bedrooms / 2 Bathrooms, All new Plumbing, Electrical, and Roof, Beautiful kitchen with granite counter tops, updated bathrooms, Laminated flooring in Living room, Kitchen, and Baths, New Carpet in Bedrooms. Alarm on property, Freshly painted interior and exterior. Front/rear uncovered driveway parking.  This is a must see!",SingleFamily,1924,,None,,4500,2,2,2,622,0,0,Los Angeles,Ninety-Second Street Elementary School,4,0.1,Charles Drew Middle School,1,0.9,,,,,,None,Microwave,None,,210920,2878,1/18/2019,200000,1/31/2019,201000,Los Angeles,90002,CA,,,,,,,,,,,
104,257 S Spalding Dr,3225000,"REDUCED!  Priced to sell.  Beautiful remodeled duplex in prime Beverly Hills. The property is immediately adjacent to Beverly Hills High School, Roxbury Park, The Peninsula Hotel & Rodeo Drive. Upper Unit, w/3Br+2.5Ba, large living rm w/fireplace, formal dining room, eat-in kitchen, & laundry rm w/washer & dryer. Generous master suite & 2 additional good-sized bedrooms. Unit will be delivered vacant. Downstairs Unit, has a grand entry, large living room w/fireplace, formal dining room & 2 master suites. Gourmet eat-in kitchen w/Sub Zero, & granite counters. Hardwood floors, central A/C. Each Unit has a 2-car garage & private outdoor area. Beverly Hills Unified School District.",Unknown,1930,"Central, Natural Gas","Central Air, Dual","Detached Carport, Garage",,,,,,4,4,Beverly Hills,El Rodeo Elementary School,8,0.5,,,,Beverly Hills High School,9,0.2,Wood,"Central, Natural Gas","Central Air, Dual","Dishwasher, Disposal, Refrigerator",Laundry Room,"Detached Carport, Garage",2454792,29525,9/25/2019,3645000,,,Beverly Hills,90212,CA,,,,,,,,,,,
105,887 Elm St,2710000,"New construction, craftsman style home in desirable location within walking distance to downtown San Carlos. 4 bedroom 4.5 bath, 2540 square feet home nicely appointed with high-end finishes. Kitchen features a large Island with farm sink and high-end Italian appliances. Hardwood floors thru-out (except baths).  Two Master bedroom -one downstairs and one upstairs. 470 sq foot garage (not included in home square footage).  Open house Sunday, Nov 24th 1:00 to 4:00",SingleFamily,2019,Central Forced Air - Gas,"Multi-Zone, Central AC",Garage - Attached,5005,"Master Bedroom on Ground Floor, Walk-in Closet, More than One Master Bedroom",5,4,2540,0,0,San Carlos,Brittan Acres Elementary School,9,0.6,Central Middle School,9,0.2,Sequoia High School,6,1.7,"Tile, Hardwood, Stone","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Gas Hookup, Inside, In Utility Room, Electricity Hookup (220V), Electricity Hookup (110V)",Garage - Attached,,,11/21/2019,2735000,,,San Carlos,94070,CA,,,,,,,,,,,
106,2117 W 77th St,500000,"Charming 2 bed 2 bath Spanish style home with great curb appeals and in move-in condition located just few minutes away to the Forum, Future LA Rams stadium, Parks, Schools, Museums, and many more.  Floor plan includes living room, formal dining room, breakfast nook, bonus room, laundry room, front porch, and detached garage.  Beautiful landscaped backyard is great for sit and relax or entertain friends and family.",SingleFamily,1924,,None,Garage,6705,2,2,2,1172,2,2,Los Angeles,Seventy-Fourth Street Elementary School,3,0.1,,,,George Washington Preparatory High School,2,2.2,,,None,,Laundry Room,Garage,48578,783,10/15/2019,525000,,,Los Angeles,90047,CA,,,,,,,,,,,
107,11753 Wetherby Ln,3500000,"An exceptional opportunity to build in the highly desirable gated community of Bel Air Crest. An extremely rare, all flat lot just under half an acre. Comes with fully approved plans and paid permits for a Modern Santa Barbara style home. Open floor plan includes a library, media room, game room, 3 car garage, and very spacious and private back yard with views of the surrounding mountains. Sellers are reputable developers and will build to suit for interested end users as well. Plans available for review upon request.",SingleFamily,2019,,Central Air,Garage - Attached,18438,5,6,5,7600,3,3,Los Angeles,Roscomare Road Elementary School,9,1,,,,University Senior High School Charter,6,4.2,,,Central Air,,Laundry Room,Garage - Attached,2080800,25098,9/8/2017,4300000,2/22/2018,2000000,Los Angeles,90077,CA,,,,,,,,,,,
108,179 Carnation Dr,107500,"Wonderful opportunity for a 3 bedroom, 2 full bath townhome with a one car garage and two reserved parking spaces directly next to the unit for an affordable price! This single level corner lot home features a nice size living room, upgraded kitchen with newer cabinets and countertops, large garage with washer and dryer hook ups, and an oversized fenced yard for kids to play and parties to be held. It doesnâEUR(tm)t get more convenient than this as most shopping including Safeway, Kmart, Big Lots, Ace Hardware, the Post Office, and Starbucks is only approximately 5 minutes away. Great investment opportunity as there is nothing on the market right now for this price that offers this much value!",Townhouse,1979,Forced air,None,"Garage, Garage - Attached",1089,3,2,2,912,0,0,Freedom,Freedom Elementary School,4,0.8,Cesar E. Chavez Middle School,2,1,Pajaro Valley High School,3,2,"Carpet, Linoleum / Vinyl",Forced air,None,"Dishwasher, Garbage disposal, Range / Oven",In Garage,"Garage, Garage - Attached",354960,4250,6/18/2017,348000,8/3/2017,348000,Freedom,95019,CA,,,,,,,,,,,
109,2122 Union St,922500,"This charming nautical themed 1,290 sq. ft.  1BD/1BA with bonus room home is situated in the center of Cow Hollow's Union Street Neighborhood.   Everything is at your fingertips with a walkscore of 99 out of 100.  Access to public transportation and tech buses along with many restaurants and shops outside your front door.  Steps away from Moscone Recreation Center, Marina Green and Fort Mason.    The condo is on the top floor of a three unit mixed use Victorian building built in the 1900's. Rebuilt in 2004 with steel beam reinforcement, it is not located on a liquefaction zone.    All wood interior with Brazilian Cherrywood floors and skylights.  Galley kitchen and in unit washer/dryer.    The residence has two decks, one private deck located on the third floor with views of Bay and a shared back patio on the second floor for entertaining.    Definitely a true San Francisco experience!",Condo,1900,Gas,,None,,1,1,1,1290,0,0,San Francisco,Sherman Elementary School,7,0.5,Marina Middle School,6,0.3,Galileo High School,8,0.8,Wood,Gas,,"Dishwasher, Disposal",Laundry Closet,None,114925,2167,9/6/2019,1185000,,,San Francisco,94123,CA,,,,,,,,,,,
110,1862 Echo Park Ave,950000,"1862 Echo Park Ave, Los Angeles, CA 90026 is a single family home that contains 1,248 sq ft and was built in 1912. It contains 3 bedrooms and 1 bathroom. This home last sold for $950,000 in January 2020. 
 
The Zestimate for this house is $1,115,184. The Rent Zestimate for this home is $3,450/mo.",SingleFamily,1912,Wall,None,"Garage, Covered",5488,3,1,1,1248,1,1,Los Angeles,,,,Thomas Starr King Middle School,6,1.9,Belmont Senior High School,3,1.6,,Wall,None,,"Gas Dryer Hookup, Washer Hookup","Garage, Covered",40517,648,9/18/2019,1050000,,,Los Angeles,90026,CA,,,,,,,,,,,
111,2819 Toyon Dr,2300000,"Cupertino Schools!  Laurel Park two story home (2362 sq.ft.) on 7917 sq.ft. lot.  Gracious two door entry welcomes you to this beautiful home.  Den/office on first floor could be ground floor fifth bedroom.  Remodeled kitchen with quartz counter tops and garden window over looking the extensively landscaped backyard.  Living room dining room combo (13x26).  Family room with fireplace (18x16.75).  The large backyard is accessed from the family room onto the new redwood deck, perfect for entertaining.  Dual paned windows.  Recessed lighting.  Inside laundry room with half bath.  Pantry.  Two zone heating and air conditioning.  Top Cupertino Schools, Eisenhower Elem, Hyde Middle and Cupertino High School.   Short distance from the Forest Park Cabana Club and Maywood Park.  Easy access to all Tech Centers, major freeways, restaurants, entertainment and Valley Faire shopping.",SingleFamily,1975,"Forced Air, Heating - 2+ Zones, Central Forced Air - Gas","Multi-Zone, Central AC","Garage, Garage - Attached, Covered",7914,Ground Floor Bedroom,3,2,2362,2,2,Santa Clara,Dwight D. Eisenhower Elementary School,7,0.8,Warren E. Hyde Middle School,7,2.5,Cupertino High School,9,2.2,"Laminate, Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Washer / Dryer, Inside, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",676899,8353,12/5/2019,2195000,,,Santa Clara,95051,CA,,,,,,,,,,,
112,9515 Croesus Ave,345000,BACK ON THE MARKET!!! PRICE TO SELL! PERFECT FOR A FIRST TIME BUYER!!! (NO INVESTORS WITH LOW OFFERS PLEASE!!!)   HOUSE NEEDS SOME TLC BUT HAS A LOT OF POTENTIAL!!!   LOCATED ON A QUIET STREET AND CONVENIENTLY LOCATED IN THE L.A AREA!,SingleFamily,1959,,None,Garage - Attached,3376,3,2,1,910,1,1,Los Angeles,Ninety-Second Street Elementary School,4,0.2,Charles Drew Middle School,1,1.1,,,,,,None,,"Laundry Room, Outside",Garage - Attached,233739,3078,10/7/2019,329900,,,Los Angeles,90002,CA,,,,,,,,,,,
113,1069 Saginaw Ter UNIT 102,965000,.,Apartment,2008,"Forced air, Gas",Other,"Garage, Garage - Attached, Covered",,2,2,2,1028,1,1,Sunnyvale,Lakewood Elementary School,4,0.6,Columbia Middle School,3,0.6,Fremont High School,7,3.2,"Carpet, Hardwood","Forced air, Gas",Other,"Dishwasher, Dryer, Freezer, Microwave, Range / Oven, Refrigerator, Washer",In Unit,"Garage, Garage - Attached, Covered",656561,7879,11/6/2019,999000,8/13/2013,586000,Sunnyvale,94089,CA,,,,,,,,,,,
114,1550 S Bernardo Ave,1500000,"1550 S Bernardo Ave, Sunnyvale, CA 94087 is a single family home that contains 1,435 sq ft and was built in 1956. It contains 3 bedrooms and 2 bathrooms. This home last sold for $1,500,000 in January 2020. 
 
The Zestimate for this house is $1,612,329. The Rent Zestimate for this home is $3,800/mo.",SingleFamily,1956,"Natural Gas, Central","Electric, Wall/Window Unit(s)","Garage, Garage - Attached, Covered",8354,3,2,2,1435,2,2,Sunnyvale,West Valley Elementary School,9,0.2,Cupertino Middle School,8,0.2,Homestead High School,8,0.7,Wood,"Other, Electric, Gas",Wall,"Dishwasher, Range / Oven",In Garage,"Garage, Garage - Attached, Covered",315241,4190,10/8/2019,1625000,,,Sunnyvale,94087,CA,,,,,,,,,,,
115,447 Independence Dr,795000,"Beautiful single story home located in a highly desirable neighborhood. This 3 bedroom / 2 bath home offers an open floor plan with over 1,900sqft of living space on a 5,900sqft lot.  This home has a variety of desirable features including: Large family room, eat in kithcen, breakfast bar, formal dining room, formal living room with a woodburning fireplace. Conveniently located within close proximiy to Schools, Happy hollow zoo, Santa clara fairgrounds, Costco, Los lagos golf course, Plant shopping center and easy acess to Highways 101 & 87. Home also features a large driveway whcih can easily fit 4 vehicles or an RV.  Save tons of money on your electricity bill with the newly installed solar panels (2017)",SingleFamily,1962,Central Forced Air,Central AC,"Garage, Garage - Attached",5941,3,2,2,1927,0,0,San Jose,Captain Jason M. Dahl Elementary School,3,0.4,Sylvandale Middle School,3,1,Andrew P. Hill High School,4,0.5,,Forced air,Central,,,"Garage, Garage - Attached",150916,3199,12/5/2019,749000,,,San Jose,95111,CA,,,,,,,,,,,
116,1116 S Oxford Ave,8750000,Clean and ready to move in . Great LOcation Near Western and Olympic .    Spacious Rooms with Front Yard and Gated for Security.   For more properties like this visit GoSection8.com.,SingleFamily,1924,Wall,Wall,"Carport, Garage - Detached, Covered",5466,2,2,,1650,4,4,Los Angeles,Los Angeles Elementary School,3,0.1,Pio Pico Middle School,5,0.7,West Adams Preparatory High School,4,1.3,,Wall,Wall,"Garbage disposal, Refrigerator",,"Carport, Garage - Detached, Covered",1326510,16249,5/3/2018,1450000,5/31/2018,1275000,Los Angeles,90006,CA,,,,,,,,,,,
117,197 Sequoia Grv,699000,"197 Sequoia Grv, Ben Lomond, CA 95005 is a single family home that contains 1,875 sq ft and was built in 1963. It contains 2 bedrooms and 2 bathrooms. This home last sold for $699,000 in January 2020. 
 
The Zestimate for this house is $877,414. The Rent Zestimate for this home is $2,900/mo.",SingleFamily,1963,Central Forced Air,Ceiling Fan,"Garage, Garage - Detached, Covered",87120,"Ground Floor Bedroom, Master Bedroom on Ground Floor",2,2,1875,4,4,Ben Lomond,Boulder Creek Elementary School,6,1.5,San Lorenzo Valley Middle School,5,3.1,San Lorenzo Valley High School,8,3.3,"Hardwood, Carpet, Vinyl / Linoleum","Forced air, Propane / Butane",None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Inside,"Garage, Garage - Detached, Covered",475392,5388,9/9/2019,749900,,,Ben Lomond,95005,CA,,,,,,,,,,,
118,1100 Alta Loma Rd APT 1702,2175000,"When only the finest in life will do, this premium top-floor penthouse exceeds your demands in every way imaginable. Crowning the exclusive Empire West tower-one of the most esteemed addresses within West Hollywood-the newly upgraded penthouse welcomes unobstructed views of the world-famous Hollywood Hills & the legendary Sunset Strip from both ensuite bedrooms & their private terraces, w/ 10' ceilings throughout, & a 200-square-foot terrace off the living room. The chic residence is on-trend, with a magazine-ready kitchen and both baths revealing new high-end finishes, including newly refinished wood floors and new Fleetwood sliding-glass doors that frame views and maximize sound-proofing. This grand penthouse provides enviable access to Empire West's exclusive selection of amenities, including 24-hour concierge service, valet service, 24/7 security, a fitness center & tennis court. When its remodel is complete, the building's rooftop will showcase a new pool, rec room & private park.",Condo,1964,Central,Central Air,"Assigned, Controlled Entrance, Direct Access, Garage - Two Door, Guest, Private, Side By Side, Valet",,2,2,2,1607,0,0,West Hollywood,West Hollywood Elementary School,9,0.6,Hubert Howe Bancroft Middle School,3,2.5,Fairfax Senior High School,7,1.2,"Carpet, Wood",Central,Central Air,"Dishwasher, Disposal, Microwave, Refrigerator",,"Assigned, Controlled Entrance, Direct Access, Garage - Two Door, Guest, Private, Side By Side, Valet",957417,11756,9/12/2019,2477000,1/4/2013,850500,West Hollywood,90069,CA,,,,,,,,,,,
119,3363 El Sobrante St,1975000,"Sun-filled, move-in ready 3BD/2BA Laurelwood oasis with serene living spaces and fantastic drought-tolerant landscaping. A handsome stone walkway and dramatic atrium welcome you, nodding to the great style and impressive outdoor space to be found throughout this special home. In the open living room, a stately stone fireplace anchors the space while stunning garden views extend from here into the corner dining area. Chefs will adore the roomy kitchen where rows of custom cabinets and granite countertops.  The master suite includes two closets and an en suite bath; Pavers and a covered pergola create a lovely outdoor living room in the huge backyard. Located near Laurelwood Park and Sugarloaf Mountain, top-ranked schools, and the Laurelwood Shopping Center.",SingleFamily,1965,Central Forced Air,None,"Garage, Garage - Attached",6899,3,2,2,2100,0,0,San Mateo,Highlands Elementary School,5,1.5,Abbott Middle School,4,1.1,Hillsdale High School,7,0.9,"Tile, Hardwood",Forced air,None,,,"Garage, Garage - Attached",941292,11852,5/29/2019,1998000,3/21/2003,725000,San Mateo,94403,CA,,,,,,,,,,,
120,7909 Fremont Ave,316000,"Capture the pure beauty of this serene and private, river front property. Located on a private road one quarter of a mile from Highway 9, central to Felton and Ben Lomond. Park-like 1/3 Acre with 3 decks overlooking the river & a custom styled carport...This is an Artist's home with many unique custom touches throughout. Including a Basement Workshop w/two small adjacent rooms, plus detached wood shop & garden center.<br/><br/>Brokered And Advertised By: Help-U-Sell Scotts Valley<br/>Listing Agent: Gary Nickerson",SingleFamily,1947,,,0 spaces,14810.4,3,1,,1144,0,0,Ben Lomond,San Lorenzo Valley Elementary School,8,0.5,San Lorenzo Valley Middle School,5,0.5,San Lorenzo Valley High School,8,0.6,,,,,,,231650,2738,9/4/2010,479000,,,Ben Lomond,95005,CA,,,,,,,,,,,
121,1842 Tioga Way,1111500,"Just in time for Christmas is this amazing remodeled three bedroom, two bathroom home on a classic tree lined Cambrian street. This home has been remodeled from top to bottom and features: wide open floor plan centered around the new kitchen with two tone cabinetry and quartz countertops, new vinyl windows, two new bathrooms, new main electrical panel, new composition shingle roof, landscaping, new cement driveway and hardscaping, new waterproof wide plank flooring, interior paint and texture, exterior paint, new HVAC and copper plumbing. Additionally the schools are terrific including award winning Bagby Elementary School just across the street.",SingleFamily,1955,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",5532,3,2,2,1066,2,2,San Jose,Bagby Elementary School,6,0.2,Price Charter Middle School,7,0.4,Branham High School,8,1.8,Laminate,Forced air,Central,,,"Garage, Garage - Attached, Covered",905000,12290,12/18/2019,1049000,8/21/2019,905000,San Jose,95124,CA,,,,,,,,,,,
122,1711 32nd Ave,1300000,"Welcome to this English tunnel entrance 3 bedrooms 2 baths with Ocean View home located in Central Sunset.  Upstairs consists of two good sized bedrooms with views, a full bath, living room with fireplace, a formal dining room, and a kitchen that open up to the living room.  Downstairs consists of legal bedroom, a bathroom, and a family room.  One car garage and two car side by side driveway parking. Double pane windows & hardwood floor throughout.  Close proximity to Safeway Market, Noriega Asian Markets, banking, restaurants, schools, and easy access to public transportation.",SingleFamily,1941,Central,,"Independent, On Site (Single Family Only)",1750,3,2,2,1650,1,1,San Francisco,Lawton Alternative Elementary School,9,0.2,,,,Lincoln (Abraham) High School,7,0.8,Wood,Central,,,,"Independent, On Site (Single Family Only)",1008869,12747,1/1/2020,1195000,7/18/2007,840000,San Francisco,94122,CA,,,,,,,,,,,
123,4738 Live Oak St,750000,"Back in the market at reduced price!  Great home for investors looking for a  redevelopment opportunity or a large family looking for a home to enjoy summer cook outs for fun and entertaiment in a huge yard with lots of matured trees. Beautiful two-stories 4br/2ba home ready to move-in, 1,906 SqFt, 20,820 SqFt Lot, 54X382. High Density Residential Zone (HDR) provides for higher density, build up to 7 residential towhhouse units on site, as per city maximum permitted density is 40 units per acre, buyer to check with City of Cudahy to conduct their own independent investigation to determine highest best use of land and new plan developments in the area, a great opportunity for the savvy, long term hold investor!....Situated in a family-friendly neighborhood near parks, schools, and shooping area, this home is sure to go fast! It’s hard to list all the indoor and outdoor features and endless possibilities of this beautiful home. Hurry, wont last, schedule a tour today!",SingleFamily,1948,,None,Garage - Attached,20820,4,2,2,1906,2,2,Cudahy,Jaime Escalante Elementary School,4,0.4,,,,Bell Senior High School,5,0.6,"Carpet, Tile",,None,Water Heater,"Gas & Electric Dryer Hookup, Laundry Room",Garage - Attached,239711,3774,10/4/2019,899500,,,Bell Gardens,90201,CA,,,,,,,,,,,
124,1914 Selby Ave APT 101,835000,"Beautiful chic designer 2 bed/2.5 ba + den 2nd-floor unit w/ updates thruout in smaller 8-unit building. Living room w/ 2 largesliding glass doors w/ step out balcony filling room with natural light, fireplace & wet bar. Dining area with soffit ceiling opens to kitchen w/granite countertops and new s/s appliances including gas range/oven. Den w/ built-ins & powder rm w/ newly installed vanity & lighting.Spacious 2nd bedroom w/ large closet and large master suite w/ door to back balcony & master bathroom w/ dual basins & separate bath& shower. Features include dark hardwood flooring, plantation shutters in living & dining room, newly installed Central ac/heat, laundry inunit,newly painted interior, newer lighting fixtures & newer carpet in bedrooms. Pets ok, 2-secured tandem parking & EQ insurance included.Close proximity to Westwood Charter School, Westwood Blvd retail, coffee shops & restaurants, UCLA, Westfield Century City Mall & thefuture Google Campus. Move-in ready!",Condo,1989,Central,Central Air,0 spaces,,2,3,2,1535,0,0,Los Angeles,Westwood Charter Elementary School,9,0.2,,,,University Senior High School Charter,6,1.8,"Carpet, Wood",Central,Central Air,"Dishwasher, Refrigerator, Washer, Dryer",,,666855,8158,10/31/2019,879000,10/2/2009,565500,Los Angeles,90025,CA,,,,,,,,,,,
125,3307 Estrada St,1171980,"THE NEW CONSTRUCTION EXPERTS are Pleased to present THIS BRAND NEW CONSTRUCTION in PRIME Boyle Heights. Comprised of a SINGLE FAMILY home in the front and a DUPLEX in the back. Property should be completed within the next two weeks.( Seller will provide Certificate of Occupancy prior to close of escrow ) Think of the possibilities of owning a brand new building in a great family neighborhood. Separately metered. Broker/Agent does not guarantee accuracy of square footage, lot size, zoning, rent control, permits, use code, schools and/or other information concerning the conditions or features of the property provided by the seller or obtained from public records or other sources. Buyer is advised to independently verify the accuracy of all information through personal inspection and with appropriate professionals.",Unknown,2019,Central,Central Air,Attached Carport,,,,,,0,0,Los Angeles,Christopher Dena Elementary School,4,0.3,Robert Louis Stevenson Middle School,3,0.9,Theodore Roosevelt Senior High,3,1.1,,Central,Central Air,Disposal,,Attached Carport,792780,9987,9/6/2019,1149000,,,Los Angeles,90023,CA,,,,,,,,,,,
126,121 Park Bolton Pl,1170000,"121 Park Bolton Pl, San Jose, CA 95136 is a single family home that contains 2,563 sq ft and was built in 1980. It contains 5 bedrooms and 3 bathrooms. This home last sold for $1,170,000 in January 2020. 
 
The Zestimate for this house is $1,257,617. The Rent Zestimate for this home is $3,950/mo.",SingleFamily,1980,"Forced air, Gas",Other,"Garage, Garage - Detached, Off-street, Covered",10654,5,3,,2563,2,2,San Jose,Hayes Elementary School,5,0.5,,,,Andrew P. Hill High School,4,1.4,Hardwood,"Forced air, Gas",Other,"Dryer, Washer",In Unit,"Garage, Garage - Detached, Off-street, Covered",950000,13901,11/8/2019,1198000,9/9/2019,950000,San Jose,95136,CA,,,,,,,,,,,
127,721 Batista Dr,107500,"Tuscany Hills gem, 2 bedrooms, 2 full bathrooms, 2 car garage, only 5 years old. Granite countertops, great layout and perfect Communications Hill location, close to everything. Dual paned windows, walk in closet, upgraded carpet and so much more. This one wont last<br/><br/>Brokered And Advertised By: Sereno Group<br/>Listing Agent: Lila Kazemi",Condo,2005,"Forced air, Gas",Central,"Garage, Garage - Attached, Covered",,2,2,,1104,2,2,San Jose,"Shirakawa (George, Sr.) Elementary School",5,2,,,,Andrew P. Hill High School,4,2,"Tile, Carpet, Hardwood","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven",,"Garage, Garage - Attached, Covered",374868,6333,10/24/2010,354900,1/14/2011,320000,San Jose,95136,CA,,,,,,,,,,,
